Time [s],Value,Parity Error,Framing Error
1.7661350000,0x00,,
1.7676700000,0xFD,,
1.7692050000,0x1E,,
1.7707400000,0x00,,
1.7722800000,0x0C,,
1.7738100000,0x01,,
1.7750500000,0x17,,
1.7764950000,0x0E,,
1.7780300000,0x26,,
1.7794650000,0x00,,
1.7892750000,0x53,,
1.7907100000,0xB0,,
1.7922500000,0x1B,,
1.7935850000,0x00,,
1.7951200000,0xFD,,
1.7965650000,0x1E,,
1.7980000000,0x00,,
1.7994350000,0x0C,,
1.8008750000,0x01,,
1.8022150000,0x17,,
1.8037250000,0x0E,,
1.8051400000,0x26,,
1.8066600000,0x00,,
2.0008950000,0x53,,
2.0023350000,0xB0,,
2.0037700000,0x1B,,
2.0053050000,0x00,,
2.0067500000,0xFD,,
2.0082850000,0x1E,,
2.0098150000,0x00,,
2.0112600000,0x0C,,
2.0125950000,0x01,,
2.0142300000,0x16,,
2.0157600000,0x0E,,
2.0173050000,0x25,,
2.0187400000,0x00,,
2.0249050000,0x53,,
2.0262500000,0xB0,,
2.0278800000,0x1B,,
2.0294150000,0x00,,
2.0309500000,0xFD,,
2.0323900000,0x1E,,
2.0339250000,0x00,,
2.0355550000,0x0C,,
2.0370000000,0x01,,
2.0384350000,0x15,,
2.0399700000,0x0E,,
2.0415100000,0x24,,
2.0440250000,0x53,,
2.0454600000,0xB0,,
2.0470050000,0x1B,,
2.0485400000,0x00,,
2.0500700000,0xFD,,
2.0576000000,0x14,,
2.0624300000,0x00,,
2.0699400000,0x53,,
2.0714800000,0xB0,,
2.0730150000,0x1B,,
2.0745450000,0x00,,
2.0760850000,0xFD,,
2.0775250000,0x1E,,
2.0790600000,0x00,,
2.0805900000,0x0C,,
2.0820350000,0x01,,
2.0836700000,0x13,,
2.0852000000,0x0E,,
2.0867450000,0x22,,
2.0881800000,0x00,,
2.0942450000,0x53,,
2.0956800000,0xB0,,
2.0973200000,0x1B,,
2.0988500000,0x00,,
2.1004850000,0xFD,,
2.1018300000,0x1E,,
2.1033650000,0x00,,
2.1048950000,0x0C,,
2.1065350000,0x01,,
2.1080700000,0x12,,
2.1096050000,0x0E,,
2.1111450000,0x21,,
2.1125800000,0x00,,
2.1426750000,0x20,,
2.1441100000,0x00,,
2.1616050000,0x53,,
2.1630400000,0xB0,,
2.1646750000,0x1B,,
2.1662150000,0x00,,
